iface,ppn,unit,test,bytes,uvn,no_uvn
default,1,microseconds,PingPong,0,0.99,0.99
default,1,microseconds,PingPong,1,0.99,0.99
default,1,microseconds,PingPong,2,0.99,0.99
default,1,microseconds,PingPong,4,0.99,0.99
default,1,microseconds,PingPong,8,1.00,1.00
default,1,microseconds,PingPong,16,0.99,1.00
default,1,microseconds,PingPong,32,1.05,1.06
default,1,microseconds,PingPong,64,1.12,1.12
default,1,microseconds,PingPong,128,1.16,1.17
default,1,microseconds,PingPong,256,1.39,1.39
default,1,microseconds,PingPong,512,1.49,1.50
default,1,microseconds,PingPong,1024,1.68,1.69
default,1,microseconds,PingPong,2048,2.44,2.46
default,1,microseconds,PingPong,4096,3.32,3.31
default,1,microseconds,PingPong,8192,4.64,4.69
default,1,microseconds,PingPong,16384,7.08,7.25
default,1,microseconds,PingPong,32768,11.73,12.13
default,1,microseconds,PingPong,65536,16.69,17.20
default,1,microseconds,PingPong,131072,26.51,27.45
default,1,microseconds,PingPong,262144,49.57,51.19
default,1,microseconds,PingPong,524288,85.52,87.50
default,1,microseconds,PingPong,1048576,167.73,171.15
default,1,microseconds,PingPong,2097152,318.89,315.43
default,1,microseconds,PingPong,4194304,638.31,625.01
default,1,microseconds,PingPing,0,1.08,1.08
default,1,microseconds,PingPing,1,1.08,1.08
default,1,microseconds,PingPing,2,1.08,1.08
default,1,microseconds,PingPing,4,1.08,1.08
default,1,microseconds,PingPing,8,1.08,1.08
default,1,microseconds,PingPing,16,1.08,1.08
default,1,microseconds,PingPing,32,1.14,1.14
default,1,microseconds,PingPing,64,1.20,1.20
default,1,microseconds,PingPing,128,1.24,1.24
default,1,microseconds,PingPing,256,1.58,1.58
default,1,microseconds,PingPing,512,1.67,1.68
default,1,microseconds,PingPing,1024,1.87,1.88
default,1,microseconds,PingPing,2048,2.81,2.79
default,1,microseconds,PingPing,4096,3.80,3.82
default,1,microseconds,PingPing,8192,5.04,5.06
default,1,microseconds,PingPing,16384,7.40,7.40
default,1,microseconds,PingPing,32768,12.46,13.02
default,1,microseconds,PingPing,65536,18.02,18.22
default,1,microseconds,PingPing,131072,28.72,29.49
default,1,microseconds,PingPing,262144,53.12,53.87
default,1,microseconds,PingPing,524288,97.15,99.00
default,1,microseconds,PingPing,1048576,172.24,172.85
default,1,microseconds,PingPing,2097152,321.09,326.89
default,1,microseconds,PingPing,4194304,633.25,651.27
default,1,microseconds,Unirandom,0,1.24,1.24
default,1,microseconds,Unirandom,1,1.24,1.24
default,1,microseconds,Unirandom,2,1.24,1.24
default,1,microseconds,Unirandom,4,1.24,1.24
default,1,microseconds,Unirandom,8,1.24,1.24
default,1,microseconds,Unirandom,16,1.24,1.24
default,1,microseconds,Unirandom,32,1.30,1.30
default,1,microseconds,Unirandom,64,1.37,1.37
