iface,ppn,unit,test,bytes,uvn,no_uvn
default,1,microseconds,PingPong,0,1.03,1.11
default,1,microseconds,PingPong,1,1.04,1.11
default,1,microseconds,PingPong,2,1.03,1.11
default,1,microseconds,PingPong,4,1.04,1.12
default,1,microseconds,PingPong,8,1.03,1.10
default,1,microseconds,PingPong,16,1.03,1.11
default,1,microseconds,PingPong,32,1.10,1.25
default,1,microseconds,PingPong,64,1.14,1.29
default,1,microseconds,PingPong,128,1.58,1.78
default,1,microseconds,PingPong,256,1.63,1.84
default,1,microseconds,PingPong,512,1.72,1.95
default,1,microseconds,PingPong,1024,1.94,2.20
default,1,microseconds,PingPong,2048,2.39,2.63
default,1,microseconds,PingPong,4096,3.15,3.45
default,1,microseconds,PingPong,8192,4.51,4.92
default,1,microseconds,PingPong,16384,6.63,7.06
default,1,microseconds,PingPong,32768,11.90,13.21
default,1,microseconds,PingPong,65536,16.91,18.98
default,1,microseconds,PingPong,131072,30.64,34.30
default,1,microseconds,PingPong,262144,49.49,56.66
default,1,microseconds,PingPong,524288,90.14,105.17
default,1,microseconds,PingPong,1048576,174.13,205.82
default,1,microseconds,PingPong,2097152,341.37,415.42
default,1,microseconds,PingPong,4194304,709.57,804.13
default,1,microseconds,PingPing,0,1.10,1.17
default,1,microseconds,PingPing,1,1.09,1.17
default,1,microseconds,PingPing,2,1.10,1.17
default,1,microseconds,PingPing,4,1.10,1.17
default,1,microseconds,PingPing,8,1.08,1.16
default,1,microseconds,PingPing,16,1.10,1.17
default,1,microseconds,PingPing,32,1.17,1.31
default,1,microseconds,PingPing,64,1.21,1.35
default,1,microseconds,PingPing,128,1.66,1.85
default,1,microseconds,PingPing,256,1.72,1.92
default,1,microseconds,PingPing,512,1.81,2.01
default,1,microseconds,PingPing,1024,2.03,2.28
default,1,microseconds,PingPing,2048,2.70,2.95
default,1,microseconds,PingPing,4096,3.41,3.74
default,1,microseconds,PingPing,8192,4.83,5.27
default,1,microseconds,PingPing,16384,6.99,7.50
default,1,microseconds,PingPing,32768,13.40,15.71
default,1,microseconds,PingPing,65536,18.78,24.78
default,1,microseconds,PingPing,131072,32.60,45.04
default,1,microseconds,PingPing,262144,51.17,76.47
default,1,microseconds,PingPing,524288,91.03,132.73
default,1,microseconds,PingPing,1048576,175.96,234.57
default,1,microseconds,PingPing,2097152,340.87,461.84
default,1,microseconds,PingPing,4194304,705.09,913.56
default,1,microseconds,Unirandom,0,1.28,1.38
default,1,microseconds,Unirandom,1,1.28,1.37
default,1,microseconds,Unirandom,2,1.28,1.37
default,1,microseconds,Unirandom,4,1.29,1.37
default,1,microseconds,Unirandom,8,1.27,1.37
default,1,microseconds,Unirandom,16,1.29,1.38
default,1,microseconds,Unirandom,32,1.36,1.57
default,1,microseconds,Unirandom,64,1.41,1.66
default,1,microseconds,Unirandom,128,2.05,2.34
default,1,microseconds,Unirandom,256,2.13,2.43
default,1,microseconds,Unirandom,512,2.25,2.56
default,1,microseconds,Unirandom,1024,2.54,2.87
default,1,microseconds,Unirandom,2048,4.96,5.32
default,1,microseconds,Unirandom,4096,6.37,6.78
default,1,microseconds,Unirandom,8192,8.98,9.52
default,1,microseconds,Unirandom,16384,13.23,13.77
default,1,microseconds,Unirandom,32768,24.10,25.73
default,1,microseconds,Unirandom,65536,33.14,36.13
default,1,microseconds,Unirandom,131072,58.51,64.48
default,1,microseconds,Unirandom,262144,92.11,105.12
default,1,microseconds,Unirandom,524288,165.10,192.20
default,1,microseconds,Unirandom,1048576,307.36,372.63
default,1,microseconds,Unirandom,2097152,616.93,751.93
default,1,microseconds,Unirandom,4194304,1277.42,1471.13
default,1,microseconds,Birandom,0,1.12,1.19
default,1,microseconds,Birandom,1,1.12,1.19
default,1,microseconds,Birandom,2,1.12,1.19
default,1,microseconds,Birandom,4,1.12,1.19
default,1,microseconds,Birandom,8,1.11,1.18
default,1,microseconds,Birandom,16,1.12,1.19
default,1,microseconds,Birandom,32,1.19,1.34
default,1,microseconds,Birandom,64,1.23,1.38
default,1,microseconds,Birandom,128,1.67,1.87
default,1,microseconds,Birandom,256,1.73,1.95
default,1,microseconds,Birandom,512,1.82,2.04
default,1,microseconds,Birandom,1024,2.04,2.29
default,1,microseconds,Birandom,2048,2.74,2.97
default,1,microseconds,Birandom,4096,3.44,3.78
default,1,microseconds,Birandom,8192,4.83,5.32
default,1,microseconds,Birandom,16384,7.00,7.53
default,1,microseconds,Birandom,32768,13.43,15.78
