iface,ppn,unit,test,bytes,uvn,no_uvn
default,1,microseconds,PingPong,0,1.91,1.89
default,1,microseconds,PingPong,1,1.80,1.89
default,1,microseconds,PingPong,2,1.73,1.81
default,1,microseconds,PingPong,4,1.65,1.61
default,1,microseconds,PingPong,8,1.63,1.55
default,1,microseconds,PingPong,16,1.61,1.55
default,1,microseconds,PingPong,32,1.58,1.57
default,1,microseconds,PingPong,64,1.72,1.73
default,1,microseconds,PingPong,128,2.71,2.74
default,1,microseconds,PingPong,256,2.85,2.87
default,1,microseconds,PingPong,512,2.95,2.95
default,1,microseconds,PingPong,1024,3.33,3.33
default,1,microseconds,PingPong,2048,4.04,4.02
default,1,microseconds,PingPong,4096,4.89,4.85
default,1,microseconds,PingPong,8192,6.59,6.60
default,1,microseconds,PingPong,16384,8.99,9.06
default,1,microseconds,PingPong,32768,13.92,14.01
default,1,microseconds,PingPong,65536,24.25,24.38
default,1,microseconds,PingPong,131072,45.70,45.74
default,1,microseconds,PingPong,262144,97.82,97.68
default,1,microseconds,PingPong,524288,189.68,188.53
default,1,microseconds,PingPong,1048576,374.25,372.75
default,1,microseconds,PingPong,2097152,739.39,734.25
default,1,microseconds,PingPong,4194304,1426.50,1419.31
default,1,microseconds,PingPing,0,1.62,1.61
default,1,microseconds,PingPing,1,1.63,1.78
default,1,microseconds,PingPing,2,1.80,2.01
default,1,microseconds,PingPing,4,1.89,2.03
default,1,microseconds,PingPing,8,2.06,2.03
default,1,microseconds,PingPing,16,2.07,2.01
default,1,microseconds,PingPing,32,2.14,2.03
default,1,microseconds,PingPing,64,2.35,2.32
default,1,microseconds,PingPing,128,3.60,3.56
default,1,microseconds,PingPing,256,3.70,3.46
default,1,microseconds,PingPing,512,3.88,3.42
default,1,microseconds,PingPing,1024,4.09,3.90
default,1,microseconds,PingPing,2048,4.55,4.71
default,1,microseconds,PingPing,4096,5.37,5.24
default,1,microseconds,PingPing,8192,7.32,7.19
default,1,microseconds,PingPing,16384,9.97,9.87
default,1,microseconds,PingPing,32768,14.60,14.54
default,1,microseconds,PingPing,65536,25.38,25.09
default,1,microseconds,PingPing,131072,47.31,47.22
default,1,microseconds,PingPing,262144,101.65,102.94
default,1,microseconds,PingPing,524288,222.76,196.35
default,1,microseconds,PingPing,1048576,523.31,382.96
default,1,microseconds,PingPing,2097152,1020.99,755.56
default,1,microseconds,PingPing,4194304,1794.29,1487.92
default,1,microseconds,Unirandom,0,2.17,2.02
default,1,microseconds,Unirandom,1,2.28,2.29
default,1,microseconds,Unirandom,2,2.38,2.51
default,1,microseconds,Unirandom,4,2.38,2.55
default,1,microseconds,Unirandom,8,2.45,2.56
default,1,microseconds,Unirandom,16,2.51,2.56
default,1,microseconds,Unirandom,32,2.55,2.58
default,1,microseconds,Unirandom,64,2.86,2.82
default,1,microseconds,Unirandom,128,4.03,4.02
default,1,microseconds,Unirandom,256,4.06,3.88
default,1,microseconds,Unirandom,512,3.84,3.75
default,1,microseconds,Unirandom,1024,4.33,4.23
default,1,microseconds,Unirandom,2048,5.30,5.12
default,1,microseconds,Unirandom,4096,6.38,6.29
default,1,microseconds,Unirandom,8192,12.18,12.24
